run,condition,kind,repeat,avg_ms,p95_ms,p99_ms,max_ms,failure_rate,dropped_iterations,completed
20260806-132312-inline-disabled-like-r1-summary,disabled,like,1,38.84175415282386,50.317,124.935,308.311,0.0,0.0,301.0
20260806-132412-inline-disabled-like-r2-summary,disabled,like,2,31.624348837209297,41.685,77.898,133.985,0.0,0.0,301.0
20260806-132513-inline-disabled-like-r3-summary,disabled,like,3,29.533816666666674,38.343799999999995,77.33260999999999,175.271,0.0,0.0,300.0
20260806-132613-inline-disabled-comment-r1-summary,disabled,comment,1,46.712859999999964,64.70635,186.4081399999999,335.477,0.0,0.0,300.0
20260806-132713-inline-disabled-comment-r2-summary,disabled,comment,2,41.99300664451827,57.281,97.551,205.527,0.0,0.0,301.0
20260806-132814-inline-disabled-comment-r3-summary,disabled,comment,3,40.22308970099667,53.31,75.39,145.559,0.0,0.0,301.0
20260806-133221-inline-enabled-like-r1-summary,enabled,like,1,46.6306466666666,55.167999999999985,128.9318399999991,708.068,0.0,0.0,300.0
20260806-133321-inline-enabled-like-r2-summary,enabled,like,2,35.22583720930232,47.754,62.478,80.079,0.0,0.0,301.0
20260806-133422-inline-enabled-like-r3-summary,enabled,like,3,32.44067666666664,44.8752,59.78667999999996,84.264,0.0,0.0,300.0
20260806-133522-inline-enabled-comment-r1-summary,enabled,comment,1,49.56137333333334,67.70985,167.06184999999994,546.019,0.0,0.0,300.0
20260806-133622-inline-enabled-comment-r2-summary,enabled,comment,2,43.006342192691044,61.06,75.103,107.091,0.0,0.0,301.0
20260806-133723-inline-enabled-comment-r3-summary,enabled,comment,3,41.69286666666664,60.0884,67.06155,107.297,0.0,0.0,300.0
