run,version,workload,requests,achieved_rps,p95_ms,p99_ms,failure_rate
20260806-105101-correctness-v2-summary,v2,correctness,2,923.7875288683604,0.0,0.0,0.0
20260806-105101-correctness-v3-summary,v3,correctness,2,3327.787021630616,0.0,0.0,0.0
20260806-105101-correctness-v4-summary,v4,correctness,2,3484.3205574912895,0.0,0.0,0.0
20260806-105614-correctness-v2-summary,v2,correctness,2,2.2212152712992332,0.0,0.0,0.0
20260806-105615-correctness-v3-summary,v3,correctness,2,23.012046806503204,0.0,0.0,0.0
20260806-105616-correctness-v4-summary,v4,correctness,22,42.370922761659706,0.0,0.0,0.0
20260806-110447-bench-v2-hot-summary,v2,hot,36001,299.9603896643853,39.997,466.425,0.0004444320991083581
20260806-110647-bench-v3-hot-summary,v3,hot,36001,299.95268960980496,35.023,62.174,0.0
20260806-110848-bench-v4-hot-summary,v4,hot,36001,299.9692723345875,23.188,60.835,0.0
20260806-111312-bench-v4-hot-summary,v4,hot,120001,999.820550370298,29.158,514.481,0.0008916592361730319
20260806-112005-bench-v2-distributed-summary,v2,distributed,120000,999.7529777017595,47.33304999999979,790.1516099999993,0.001
20260806-112206-bench-v3-distributed-summary,v3,distributed,119998,999.6338530080395,111.9708499999999,883.2987799999997,0.0014583576392939882
20260806-112406-bench-v4-distributed-summary,v4,distributed,120001,999.8434674775752,197.054,686.811,0.001008324930625578
